"","SeqId","Target","ExternalCalibratorReference0x2ESL14381_8d0x2Exlsx","medianQCreplicate","madNQCreplicate","mLLOD","mULOD","RRCIratio","mLLOQ","mULOQ","n","L95ref_L90CI","L95ref_U90CI","L95ref","U95ref","U95ref_L90CI","U95ref_U90CI","ColNum"
"4EBP2.4184.43.3","4184-43_3","4EBP2",254.800338136199,2.29,0.02,NA,NA,7.3207,NA,NA,168,2.394,2.418,2.407,2.798,2.773,2.832,774
"6.Phosphogluconate.dehydrogenase.4187.49.2","4187-49_2","6-Phosphogluconate dehydrogenase",2653.38335238234,3.6,0.03,NA,NA,7.8579,NA,NA,168,3.622,3.74,3.678,4.796,4.745,4.838,775
"Aflatoxin.B1.aldehyde.reductase.4188.1.2","4188-1_2","Aflatoxin B1 aldehyde reductase",522.636816736937,2.86,0.02,NA,NA,9.2126,NA,NA,168,2.897,3.008,2.959,4.294,4.258,4.341,776
"AK1A1.4192.10.2","4192-10_2","AK1A1",2089.29613085404,3.2,0.02,NA,NA,11.9746,NA,NA,168,3.312,3.393,3.348,4.098,4.072,4.117,777
"AN32B.4194.26.3","4194-26_3","AN32B",124.308263584462,2.08,0.04,NA,NA,7.4915,NA,NA,168,2.051,2.094,2.08,2.393,2.384,2.422,778
"Cofilin.1.4203.50.2","4203-50_2","Cofilin-1",2513.04346435629,3.56,0.03,NA,NA,5.1335,NA,NA,168,3.521,3.628,3.592,4.369,4.348,4.461,779
"DRG.1.4209.60.2","4209-60_2","DRG-1",6635.902555061,3.9,0.03,NA,NA,14.7591,NA,NA,168,4.033,4.123,4.062,5.078,5.05,5.095,780
"Dynactin.subunit.2.4210.19.2","4210-19_2","Dynactin subunit 2",390.481083749254,2.49,0.02,NA,NA,5.1852,NA,NA,168,2.587,2.617,2.603,2.833,2.818,2.869,781
"EP15R.4212.5.3","4212-5_3","EP15R",277.268159761239,2.41,0.03,NA,NA,7.2507,NA,NA,168,2.543,2.591,2.572,3.165,3.119,3.197,782
"ERAB.4217.49.3","4217-49_3","ERAB",667.113915796648,2.86,0.03,NA,NA,6.4998,NA,NA,168,3.11,3.268,3.173,4.49,4.446,4.561,783
"FER.4220.39.2","4220-39_2","FER",101.29779687601,2.22,0.03,NA,NA,7.5123,NA,NA,168,2.462,2.678,2.634,3.89,3.835,3.934,784
"HNRPQ.4224.7.2","4224-7_2","HNRPQ",1126.678482071,3.03,0.03,NA,NA,5.287,NA,NA,168,3.067,3.153,3.117,3.628,3.605,3.689,785
"HSP70.protein.8.4228.37.2","4228-37_2","HSP70 protein 8",60.1035328050241,1.76,0.03,NA,NA,5.5738,NA,NA,168,1.64,1.683,1.669,2.112,2.062,2.148,786
"IF4G2.4230.1.2","4230-1_2","IF4G2",276.63046068975,2.66,0.02,NA,NA,8.6941,NA,NA,168,2.81,3.012,2.938,4.205,4.161,4.246,787
"IGF.I.sR.4232.19.2","4232-19_2","IGF-I sR",8396.53301579875,3.97,0.03,NA,NA,11.3601,NA,NA,168,3.611,3.671,3.648,4.12,4.106,4.137,788
"IL.1.R4.4234.8.2","4234-8_2","IL-1 R4",3972.83016733681,3.7,0.03,NA,NA,3.7792,NA,NA,168,3.071,3.253,3.218,3.859,3.768,3.914,789
"LCMT1.4237.70.3","4237-70_3","LCMT1",1642.10150829461,3.26,0.03,NA,NA,4.6409,NA,NA,168,3.178,3.282,3.243,3.538,3.523,3.563,790
"LIN7B.4238.4.2","4238-4_2","LIN7B",297.577437737281,2.45,0.02,NA,NA,7.4011,NA,NA,168,2.556,2.588,2.576,2.811,2.79,2.821,791
"M2.PK.4240.31.2","4240-31_2","M2-PK",3309.02463192213,3.74,0.02,NA,NA,11.7326,NA,NA,168,3.807,3.996,3.948,5.055,5.025,5.08,792
"MDM2.4245.80.2","4245-80_2","MDM2",167.64862660739,2.22,0.02,NA,NA,7.1368,NA,NA,168,2.315,2.397,2.375,2.854,2.825,2.88,793
"NCAM.L1.4246.40.2","4246-40_2","NCAM-L1",593.335044380004,2.86,0.03,NA,NA,4.4416,NA,NA,168,2.55,2.622,2.599,3.068,3.041,3.141,794
"NDP.kinase.B.4249.64.2","4249-64_2","NDP kinase B",2730.23481294007,3.57,0.03,NA,NA,9.5132,NA,NA,168,3.647,3.816,3.753,4.77,4.744,4.81,795
"NSF1C.4250.23.3","4250-23_3","NSF1C",197.242273611485,2.3,0.03,NA,NA,5.2187,NA,NA,168,2.421,2.495,2.461,3.248,3.213,3.333,796
"NUDC3.4254.6.2","4254-6_2","NUDC3",235.667665631813,2.33,0.02,NA,NA,7.8096,NA,NA,168,2.516,2.547,2.535,3.071,3.041,3.11,797
"PA2G4.4258.15.2","4258-15_2","PA2G4",718.290297296526,2.77,0.02,NA,NA,4.9911,NA,NA,168,2.908,2.976,2.949,3.972,3.921,4.065,798
"paraoxonase.1.4261.55.2","4261-55_2","paraoxonase 1",215.774440915267,2.22,0.02,NA,NA,4.8165,NA,NA,168,2.298,2.326,2.312,2.468,2.461,2.495,799
"PESC.4267.81.3","4267-81_3","PESC",316.300588534521,2.43,0.03,NA,NA,6.3513,NA,NA,168,2.561,2.582,2.575,2.827,2.804,2.852,800
"PFD5.4271.75.2","4271-75_2","PFD5",314.485046547696,2.46,0.03,NA,NA,4.8376,NA,NA,168,2.579,2.619,2.602,2.894,2.872,2.937,801
"PHI.4272.46.2","4272-46_2","PHI",10432.7788145997,4.18,0.02,NA,NA,9.2591,NA,NA,168,4.043,4.143,4.1,4.751,4.732,4.782,802
"prostatic.binding.protein.4276.10.2","4276-10_2","prostatic binding protein",3106.70488278996,3.46,0.02,NA,NA,12.5884,NA,NA,168,3.52,3.582,3.558,4.227,4.208,4.249,803
"Protein.disulfide.isomerase.4278.14.3","4278-14_3","Protein disulfide-isomerase",366.100228546543,2.38,0.02,NA,NA,2.9387,NA,NA,168,2.376,2.404,2.391,2.614,2.594,2.689,804
"PSA2.4280.47.2","4280-47_2","PSA2",443.506511025305,2.62,0.03,NA,NA,7.8254,NA,NA,168,2.629,2.658,2.645,2.974,2.957,3.002,805
"RAN.4282.3.2","4282-3_2","RAN",541.003406863468,2.91,0.04,NA,NA,10.0887,NA,NA,168,2.952,3.107,3.074,3.816,3.797,3.842,806
"RBM39.4284.18.3","4284-18_3","RBM39",249.17243712539,2.5,0.05,NA,NA,5.7481,NA,NA,168,2.436,2.464,2.448,2.828,2.802,2.876,807
"SNAA.4292.5.3","4292-5_3","SNAA",1632.300072819,3.18,0.03,NA,NA,7.7034,NA,NA,168,3.278,3.346,3.318,4.428,4.393,4.489,808
"Sphingosine.kinase.1.4294.16.2","4294-16_2","Sphingosine kinase 1",983.331609686744,3.15,0.04,NA,NA,10.2133,NA,NA,168,3.224,3.497,3.431,4.635,4.614,4.677,809
"Spondin.1.4297.62.3","4297-62_3","Spondin-1",1741.00492635261,3.16,0.03,NA,NA,5.4268,NA,NA,168,3.074,3.179,3.136,3.54,3.509,3.565,810
"Thymidine.kinase.4301.58.2","4301-58_2","Thymidine kinase",570.558263871129,2.71,0.02,NA,NA,5.2575,NA,NA,168,2.636,2.665,2.654,2.9,2.878,2.933,811
"transcription.factor.MLR1..isoform.CRA.b.4304.18.2","4304-18_2","transcription factor MLR1, isoform CRA_b",189.757958772085,2.29,0.01,NA,NA,5.7441,NA,NA,168,2.263,2.288,2.278,2.576,2.546,2.608,812
"Transketolase.4306.4.2","4306-4_2","Transketolase",12811.500562784,4.19,0.02,NA,NA,15.8225,NA,NA,168,4.167,4.243,4.22,5.062,5.036,5.073,813
"Triosephosphate.isomerase.4309.59.3","4309-59_3","Triosephosphate isomerase",3429.2567329756,3.6,0.02,NA,NA,7.4535,NA,NA,168,3.589,3.68,3.643,4.592,4.563,4.653,814
"XTP3A.4314.12.2","4314-12_2","XTP3A",12944.9387536629,4.17,0.02,NA,NA,8.9104,NA,NA,168,3.916,3.983,3.934,4.374,4.363,4.399,815
"PTP.1C.4318.12.3","4318-12_3","PTP-1C",993.802305681118,3.06,0.02,NA,NA,6.6569,NA,NA,168,3.097,3.257,3.207,4.2,4.166,4.264,816
"AMNLS.4322.28.3","4322-28_3","AMNLS",284.57713318638,2.4,0.05,NA,NA,5.5732,NA,NA,168,2.362,2.395,2.383,2.8,2.761,2.844,817
"CYTT.4324.33.2","4324-33_2","CYTT",17717.4003994312,4.12,0.03,NA,NA,4.1196,NA,NA,168,3.507,3.764,3.64,4.5,4.474,4.607,818
"BOC.4328.2.2","4328-2_2","BOC",1691.21958773965,3.04,0.03,NA,NA,4.6163,NA,NA,168,2.718,2.903,2.884,3.445,3.407,3.498,819
"PSA.4330.4.2","4330-4_2","PSA",209.314830344745,2.28,0.02,NA,NA,6.518,NA,NA,168,2.165,2.202,2.185,2.666,2.629,2.706,820
"CLC1B.4332.6.2","4332-6_2","CLC1B",7130.17189501407,3.88,0.02,NA,NA,12.6592,NA,NA,168,3.836,3.959,3.921,4.8,4.78,4.824,821
"SAA.4336.2.1","4336-2_1","SAA",923.421538271459,2.18,0.07,NA,NA,6.6964,NA,NA,168,1.983,2.133,2.056,3.792,3.709,3.839,822
"CRP.4337.49.2","4337-49_2","CRP",32456.3740620266,4.14,0.03,NA,NA,6.0922,NA,NA,168,3.308,3.706,3.593,5.098,5.043,5.168,823
"sICAM.1.4342.10.2","4342-10_2","sICAM-1",3049.2989203838,3.54,0.03,NA,NA,9.8163,NA,NA,168,3.308,3.336,3.327,3.782,3.746,3.795,824
"DAPK2.4355.13.1","4355-13_1","DAPK2",1480.81225526751,3.16,0.02,NA,NA,6.3289,NA,NA,168,3.253,3.298,3.284,3.759,3.733,3.808,825
"DYRK3.4359.87.1","4359-87_1","DYRK3",2734.00937850561,3.39,0.05,3.687,3.482,7.4022,NA,NA,168,3.426,3.463,3.45,3.684,3.671,3.698,826
"b.NGF.4368.8.2","4368-8_2","b-NGF",318.933398013318,2.45,0.02,NA,NA,3.237,NA,NA,168,2.361,2.417,2.396,2.752,2.701,2.824,827
"Activin.AB.4383.97.1","4383-97_1","Activin AB",283.661241931251,2.25,0.03,NA,NA,5.2094,NA,NA,168,2.404,2.44,2.431,2.943,2.872,2.98,828
"DHH.4389.2.1","4389-2_1","DHH",448.22904999662,2.63,0.02,NA,NA,4.5768,NA,NA,168,2.766,2.799,2.783,3.41,3.346,3.481,829
"FGF.12.4392.54.2","4392-54_2","FGF-12",116.493045699045,2.04,0.02,NA,NA,4.1464,NA,NA,168,2.129,2.168,2.165,2.366,2.35,2.403,830
"FGF.16.4393.3.1","4393-3_1","FGF-16",761.026885913448,2.9,0.02,NA,NA,6.17,NA,NA,168,2.995,3.09,3.07,3.843,3.797,3.898,831
"FGF.8A.4394.71.2","4394-71_2","FGF-8A",277.971326775929,2.15,0.03,NA,NA,4.5272,NA,NA,168,2.309,2.328,2.322,2.685,2.653,2.75,832
"IFN.lambda.1.4396.54.1","4396-54_1","IFN-lambda 1",173.061315254193,2.09,0.02,NA,NA,7.5475,NA,NA,168,2.248,2.288,2.273,2.753,2.723,2.786,833
"IFN.lambda.2.4397.26.2","4397-26_2","IFN-lambda 2",149.761437488737,2.15,0.02,NA,NA,3.5175,NA,NA,168,2.163,2.193,2.174,2.421,2.398,2.484,834
"MSP.4407.10.1","4407-10_1","MSP",6896.04362163704,4.01,0.04,NA,NA,8.6914,NA,NA,168,2.343,2.954,2.778,4.106,4.068,4.14,835
"SLPI.4413.3.2","4413-3_2","SLPI",31239.2069366411,4.47,0.02,NA,NA,5.8356,NA,NA,168,4.332,4.381,4.357,4.678,4.658,4.711,836
"SP.D.4414.69.2","4414-69_2","SP-D",1692.77797609853,3.24,0.02,NA,NA,3.7992,NA,NA,168,3.19,3.425,3.353,4.206,4.162,4.315,837
"ADAM12.4420.7.2","4420-7_2","ADAM12",651.928549134065,2.91,0.02,NA,NA,5.8631,NA,NA,168,2.551,2.591,2.583,3.12,3.095,3.185,838
"BCL2.like.1.protein.4423.77.2","4423-77_2","BCL2-like 1 protein",615.743732557065,2.81,0.04,NA,NA,4.4285,NA,NA,168,2.874,2.938,2.929,3.357,3.316,3.415,839
"CHST2.4428.1.2","4428-1_2","CHST2",210.959943271119,2.37,0.03,NA,NA,5.3903,NA,NA,168,2.441,2.489,2.47,3.162,3.104,3.223,840
"CHST6.4429.51.2","4429-51_2","CHST6",256.448403651772,2.34,0.02,NA,NA,7.806,NA,NA,168,2.334,2.358,2.347,2.626,2.6,2.641,841
"Collectin.Kidney.1.4430.44.3","4430-44_3","Collectin Kidney 1",8548.69849163667,3.8,0.02,NA,NA,6.2328,NA,NA,168,3.461,3.582,3.521,4.299,4.25,4.346,842
"ENPP7.4435.66.2","4435-66_2","ENPP7",6966.26514110769,4.06,0.02,NA,NA,5.707,NA,NA,168,3.1,3.306,3.234,4.276,4.242,4.357,843
"ENTP3.4436.1.2","4436-1_2","ENTP3",544.502652842421,2.71,0.04,3.033,NA,3.6345,NA,NA,20,3.033,3.033,3.033,3.138,3.1,3.153,844
"ENTP5.4437.56.3","4437-56_3","ENTP5",4039.24317653098,3.61,0.04,NA,NA,8.6007,NA,NA,168,3.427,3.469,3.446,3.877,3.857,3.905,845
"FCRL3.4440.15.2","4440-15_2","FCRL3",593.60834819137,2.8,0.02,NA,NA,3.858,NA,NA,168,2.653,2.678,2.667,2.964,2.945,3.038,846
"GREM1.4449.67.3","4449-67_3","GREM1",197.196862127984,2.28,0.02,NA,NA,4.7935,NA,NA,168,2.363,2.412,2.395,2.888,2.823,2.933,847
"hnRNP.A.B.4450.26.2","4450-26_2","hnRNP A/B",717.959588544675,2.85,0.03,NA,NA,6.443,NA,NA,168,2.928,2.99,2.968,3.723,3.688,3.785,848
"LRRT1.4452.9.2","4452-9_2","LRRT1",113.553362784194,2.06,0.02,NA,NA,5.3187,NA,NA,168,2.063,2.097,2.087,2.362,2.339,2.397,849
"LRRT3.4453.83.3","4453-83_3","LRRT3",208.497091012371,2.17,0.02,NA,NA,2.8792,NA,NA,168,2.11,2.166,2.146,2.419,2.402,2.505,850
"MFGM.4455.89.2","4455-89_2","MFGM",1891.03688536449,3.2,0.03,NA,NA,8.1982,NA,NA,168,2.45,2.514,2.49,3.328,3.281,3.364,851
"PCSK7.4459.68.2","4459-68_2","PCSK7",2404.36280000693,3.43,0.02,NA,NA,5.3729,NA,NA,168,3.11,3.197,3.155,3.698,3.655,3.745,852
"PDPK1.4460.8.2","4460-8_2","PDPK1",218.423820913757,2.53,0.02,NA,NA,14.0087,NA,NA,168,2.776,2.87,2.838,4.07,4.05,4.102,853
"RASA1.4462.8.2","4462-8_2","RASA1",687.701544944209,2.78,0.06,3.055,NA,1.828,NA,NA,22,3.055,3.055,3.055,3.119,3.092,3.157,854
"Sialoadhesin.4464.10.2","4464-10_2","Sialoadhesin",125.602996369488,1.99,0.02,NA,NA,6.0422,NA,NA,168,2.005,2.016,2.009,2.304,2.291,2.353,855
"SPARCL1.4467.49.2","4467-49_2","SPARCL1",17159.3171012099,4.15,0.02,NA,NA,7.5235,NA,NA,168,3.933,4.025,3.986,4.409,4.397,4.434,856
"SPHK2.4468.21.2","4468-21_2","SPHK2",316.664952749209,2.56,0.02,NA,NA,5.8464,NA,NA,168,2.612,2.644,2.636,2.893,2.88,2.928,857
"ST4S6.4469.78.2","4469-78_2","ST4S6",2638.76065531327,3.36,0.04,NA,NA,4.355,NA,NA,168,3.272,3.357,3.302,3.659,3.648,3.717,858
"TGM3.4471.50.2","4471-50_2","TGM3",719.4489780037,2.35,0.04,NA,NA,5.8767,NA,NA,168,2.1,2.169,2.143,3.156,3.093,3.22,859
"Tropomyosin.2.4472.5.2","4472-5_2","Tropomyosin 2",863.177278799814,2.81,0.05,NA,NA,4.5851,NA,NA,168,2.897,2.983,2.954,3.344,3.332,3.406,860
"Ubiquitin.4474.19.2","4474-19_2","Ubiquitin",602.420857574626,2.79,0.05,NA,NA,6.6971,NA,NA,168,2.658,2.738,2.712,3.361,3.323,3.406,861
"ZAP70.4475.60.3","4475-60_3","ZAP70",203.282503231281,2.29,0.03,NA,NA,4.225,NA,NA,168,2.346,2.378,2.369,2.644,2.588,2.67,862
"ZAP70.4476.22.2","4476-22_2","ZAP70",2998.47201579705,3.38,0.06,NA,NA,5.7222,NA,NA,168,3.271,3.369,3.336,3.739,3.717,3.771,863
"C1.Esterase.Inhibitor.4479.14.2","4479-14_2","C1-Esterase Inhibitor",9552.12506508996,4.01,0.02,NA,NA,5.1179,NA,NA,168,3.676,3.796,3.775,4.195,4.175,4.237,864
"C3b.4480.59.2","4480-59_2","C3b",17901.9359926501,4.34,0.05,NA,NA,7.108,NA,NA,168,3.593,3.71,3.649,4.586,4.537,4.632,865
"C4.4481.34.2","4481-34_2","C4",146926.45493623,5.2,0.04,NA,5.122,2.3214,NA,NA,21,4.943,5.059,5.006,5.122,5.122,5.122,866
"C5b..6.Complex.4482.66.2","4482-66_2","C5b, 6 Complex",554.115118971686,2.75,0.03,NA,NA,5.9701,NA,NA,168,2.683,2.717,2.698,2.933,2.919,2.959,867
"FGF7.4487.1.1","4487-1_1","FGF7",787.408321145214,2.87,0.02,NA,NA,6.5822,NA,NA,168,3.015,3.049,3.036,3.387,3.362,3.419,868
"IL.3.Ra.4490.65.2","4490-65_2","IL-3 Ra",354.323534878385,2.55,0.03,NA,NA,4.6033,NA,NA,168,2.617,2.676,2.657,3.194,3.145,3.26,869
"IL.5.Ra.4491.4.2","4491-4_2","IL-5 Ra",1868.09948192775,3.11,0.02,NA,NA,3.5503,NA,NA,168,2.977,3.076,3.048,3.71,3.678,3.831,870
"IL.11.4493.92.1","4493-92_1","IL-11",215.526164356616,2.32,0.03,NA,NA,6.1669,NA,NA,168,2.437,2.453,2.447,2.832,2.775,2.854,871
"IL.23.4494.63.2","4494-63_2","IL-23",221.513398413719,2.24,0.02,NA,NA,6.9735,NA,NA,168,2.21,2.256,2.24,2.559,2.536,2.579,872
"Kininogen..HMW.4495.33.2","4495-33_2","Kininogen, HMW",54475.3463327543,4.84,0.02,NA,NA,4.7354,NA,NA,168,4.506,4.618,4.579,4.938,4.916,4.971,873
"MMP.12.4496.60.2","4496-60_2","MMP-12",669.267906935843,2.9,0.04,NA,NA,5.0671,NA,NA,168,2.48,2.637,2.574,3.374,3.332,3.447,874
"NCAM.120.4498.62.2","4498-62_2","NCAM-120",11841.3167920876,4.04,0.02,NA,NA,6.1963,NA,NA,168,3.748,3.85,3.808,4.23,4.208,4.256,875
"PDGF.AA.4499.21.1","4499-21_1","PDGF-AA",7032.34226907659,3.4,0.03,NA,NA,15.0186,NA,NA,168,3.184,3.258,3.238,4.36,4.336,4.384,876
"SCGF.alpha.4500.50.2","4500-50_2","SCGF-alpha",1747.43085526732,3.14,0.01,NA,NA,7.4142,NA,NA,168,3.055,3.108,3.087,3.543,3.504,3.563,877
"ATS15.4533.76.2","4533-76_2","ATS15",304.789498962798,2.43,0.02,NA,NA,5.1662,NA,NA,168,2.558,2.59,2.571,2.848,2.808,2.871,878
"BSSP4.4534.10.2","4534-10_2","BSSP4",1673.78626600199,3.18,0.01,NA,NA,5.5777,NA,NA,168,2.895,3.004,2.958,3.447,3.41,3.481,879
"BST1.4535.50.2","4535-50_2","BST1",9401.56168803569,4.11,0.03,NA,NA,4.9162,NA,NA,168,2.8,3.495,3.204,4.265,4.228,4.327,880
"CBX5.4540.11.2","4540-11_2","CBX5",308.318795024935,2.41,0.03,2.659,NA,1.1762,NA,NA,14,2.659,2.659,2.659,2.69,2.67,2.72,881
"CDON.4541.49.2","4541-49_2","CDON",7556.14007093093,3.96,0.02,NA,NA,10.1256,NA,NA,168,3.629,3.681,3.649,4.047,4.03,4.06,882
"Clusterin.4542.24.2","4542-24_2","Clusterin",1133.44382297103,3.07,0.05,3.23,NA,2.9795,NA,NA,25,3.23,3.23,3.23,3.302,3.284,3.328,883
"CONA1.4543.65.2","4543-65_2","CONA1",234.692926268646,2.84,0.04,NA,NA,4.1063,NA,NA,168,2.512,2.589,2.545,3.386,3.337,3.495,884
"CTAP.III.4544.4.3","4544-4_3","CTAP-III",16360.6291310142,3.8,0.02,NA,NA,5.0026,NA,NA,168,3.396,3.662,3.616,4.895,4.847,4.991,885
"DnaJ.homolog.4545.53.3","4545-53_3","DnaJ homolog",484.506937549979,2.66,0.02,NA,NA,4.0416,NA,NA,168,2.727,2.807,2.79,3.221,3.19,3.292,886
"EMR2.4546.27.3","4546-27_3","EMR2",450.712912109109,2.74,0.03,NA,NA,5.4521,NA,NA,168,2.457,2.528,2.502,2.95,2.893,2.973,887
"FLRT1.4547.59.2","4547-59_2","FLRT1",657.052390963554,2.95,0.03,NA,NA,4.2356,NA,NA,168,2.673,2.786,2.761,3.213,3.182,3.274,888
"Fucosyltransferase.3.4548.4.2","4548-4_2","Fucosyltransferase 3",492.606343349577,2.56,0.02,NA,NA,6.4595,NA,NA,168,2.349,2.436,2.388,3.032,2.999,3.082,889
"FUT5.4549.78.2","4549-78_2","FUT5",6343.07724208235,3.71,0.03,NA,NA,4.7417,NA,NA,168,3.332,3.447,3.382,4.25,4.21,4.344,890
"FYN.4550.3.2","4550-3_2","FYN",202.628252958444,2.32,0.02,NA,NA,2.8282,NA,NA,168,2.327,2.449,2.419,3.011,2.963,3.143,891
"GP114.4551.72.3","4551-72_3","GP114",842.170452198279,2.77,0.04,3.106,2.943,7.5309,NA,NA,168,2.901,2.939,2.922,3.131,3.122,3.142,892
"H6ST1.4552.13.2","4552-13_2","H6ST1",198.655228526677,2.28,0.03,NA,NA,4.3145,NA,NA,168,2.251,2.309,2.297,2.517,2.509,2.554,893
"HDGR2.4553.65.3","4553-65_3","HDGR2",488.877443894145,2.65,0.02,NA,NA,7.9199,NA,NA,168,2.759,2.784,2.775,2.991,2.981,3.008,894
"IL.34.4556.10.2","4556-10_2","IL-34",511.799668202461,2.7,0.03,NA,NA,6.8589,NA,NA,168,2.659,2.688,2.68,2.903,2.891,2.924,895
"KIRR3.4557.61.2","4557-61_2","KIRR3",255.564190106414,2.4,0.02,NA,NA,5.311,NA,NA,168,2.428,2.46,2.455,2.621,2.605,2.635,896
"KYNU.4559.64.2","4559-64_2","KYNU",454.255296738871,2.74,0.03,NA,NA,5,NA,NA,168,2.622,2.77,2.75,3.255,3.232,3.307,897
"LCK.4560.34.2","4560-34_2","LCK",314.919823960229,2.49,0.03,NA,NA,4.9433,NA,NA,168,2.537,2.682,2.664,3.231,3.199,3.289,898
"Livin.B.4561.65.2","4561-65_2","Livin B",105.754778508579,2.01,0.02,2.233,NA,3.1156,NA,NA,37,2.233,2.233,2.233,2.322,2.295,2.347,899
"NXPH1.4562.1.2","4562-1_2","NXPH1",9473.2718450425,3.67,0.04,NA,NA,5.7767,NA,NA,168,3.492,3.573,3.545,4.197,4.14,4.241,900
"PLCG1.4563.61.2","4563-61_2","PLCG1",403.924317653098,2.56,0.02,NA,NA,6.0773,NA,NA,168,2.619,2.638,2.631,2.796,2.776,2.808,901
"PLXC1.4564.2.2","4564-2_2","PLXC1",904.065715519658,2.98,0.02,NA,NA,3.8378,NA,NA,168,2.769,2.839,2.813,3.148,3.122,3.208,902
"RSPO2.4566.24.3","4566-24_3","RSPO2",241.768658092577,2.39,0.03,NA,NA,7.603,NA,NA,168,2.486,2.505,2.495,2.788,2.774,2.819,903
"SH21A.4567.82.2","4567-82_2","SH21A",353.590021100387,2.54,0.03,NA,NA,7.8038,NA,NA,168,2.471,2.531,2.507,3.004,2.981,3.037,904
"SLIK5.4568.17.2","4568-17_2","SLIK5",2555.64190106414,3.35,0.01,NA,NA,8.5399,NA,NA,168,3.026,3.116,3.057,3.623,3.605,3.653,905
"SORC2.4569.52.2","4569-52_2","SORC2",586.543194290265,2.45,0.03,NA,NA,6.2004,NA,NA,168,2.379,2.422,2.402,3.034,2.991,3.087,906
"MEL.VESMG.4584.5.1","4584-5_1","MEL_VESMG",231.312978056385,2.33,0.02,2.55,NA,2.8485,NA,NA,41,2.55,2.55,2.55,2.636,2.608,2.663,907
"PH.4588.1.2","4588-1_2","PH",3680.44218571993,3.85,0.02,NA,NA,6.4349,NA,NA,168,3.033,3.088,3.058,4.061,4.004,4.12,908
"PACAP.27.4593.11.1","4593-11_1","PACAP-27",1046.40546704743,2.98,0.05,3.337,NA,1.7455,NA,NA,18,3.337,3.337,3.337,3.391,3.363,3.422,909
"PACAP.38.4594.22.2","4594-22_2","PACAP-38",523.962251905938,2.66,0.02,NA,NA,4.9477,NA,NA,168,2.769,2.785,2.775,3.05,3.016,3.089,910
"IL.6.4673.13.2","4673-13_2","IL-6",227.771824185732,2.32,0.03,NA,NA,7.2957,NA,NA,168,2.373,2.542,2.522,3.305,3.267,3.343,911
"3HIDH.4693.72.2","4693-72_2","3HIDH",2665.63081346512,2.64,0.05,NA,NA,6.2789,NA,NA,168,2.591,2.621,2.603,2.978,2.946,3.013,912
"CASA.4695.49.2","4695-49_2","CASA",381.241351104299,2.49,0.04,2.787,NA,4.4052,NA,NA,32,2.787,2.787,2.787,2.937,2.907,2.964,913
"FABP.4696.2.2","4696-2_2","FABP",1489.70405525771,3.16,0.04,NA,NA,4.9953,NA,NA,168,2.993,3.071,3.032,3.59,3.556,3.656,914
"GM.CSF.4697.59.2","4697-59_2","GM-CSF",1101.28569994107,2.7,0.01,NA,NA,2.6867,NA,NA,168,2.745,2.794,2.778,3.029,2.997,3.106,915
"TNF.b.4703.87.2","4703-87_2","TNF-b",399.39258717803,2.51,0.02,NA,NA,2.9631,NA,NA,168,2.627,2.65,2.641,2.841,2.822,2.91,916
"41.4706.17.2","4706-17_2","41",5633.78150850938,3.62,0.05,NA,NA,5.968,NA,NA,168,3.547,3.703,3.651,4.452,4.413,4.51,917
"14.3.3.4707.50.2","4707-50_2","14-3-3",6889.69505481137,NA,NA,NA,NA,9.0765,NA,NA,168,4.016,4.187,4.11,4.936,4.913,4.968,918
"17.beta.HSD.1.4708.3.2","4708-3_2","17-beta-HSD 1",1045.44213569415,3.3,0.04,3.208,NA,1.5847,NA,NA,23,3.208,3.208,3.208,3.256,3.243,3.298,919
"Apo.D.4712.28.3","4712-28_3","Apo D",7705.48536629715,3.87,0.06,NA,NA,5.2604,NA,NA,168,3.899,3.931,3.921,4.37,4.313,4.41,920
"IL.3.4717.55.2","4717-55_2","IL-3",1131.35786411956,3.01,0.03,NA,NA,4.4502,NA,NA,168,3.12,3.167,3.146,3.396,3.38,3.438,921
"PPIB.4718.5.2","4718-5_2","PPIB",2313.12978056385,3.34,0.05,3.647,NA,1.7994,NA,NA,24,3.647,3.647,3.647,3.706,3.684,3.745,922
"Protein.disulfide.isomerase.A3.4719.58.2","4719-58_2","Protein disulfide isomerase A3",3212.92065114126,3.56,0.04,NA,NA,5.3956,NA,NA,168,3.593,3.65,3.624,4.389,4.332,4.454,923
"TFF3.4721.54.2","4721-54_2","TFF3",10784.4996329383,3.71,0.02,NA,NA,5.5823,NA,NA,168,3.561,3.615,3.584,4.091,4.055,4.143,924
"Afamin.4763.31.3","4763-31_3","Afamin",35334.5854108902,4.61,0.03,NA,NA,3.632,NA,NA,168,4.341,4.375,4.355,4.687,4.665,4.769,925
"Olfactomedin.4.4769.10.3","4769-10_3","Olfactomedin-4",112.849593752776,2,0.02,NA,NA,6.6049,NA,NA,168,2.025,2.049,2.038,2.282,2.258,2.301,926
"ASM3A.4771.10.3","4771-10_3","ASM3A",3966.43187946858,3.61,0.05,NA,NA,5.9396,NA,NA,168,3.57,3.622,3.618,4.063,4.022,4.099,927
"FAM107B.4774.62.3","4774-62_3","FAM107B",1591.10924801754,3.18,0.03,NA,NA,5.228,NA,NA,168,3.198,3.282,3.255,3.496,3.485,3.509,928
